Company Name,BSE Number,Group
Company,Code,Group
Beryl Drugs Ltd.,524606,X
Beryl Securities Ltd.,531582,X
Best Agrolife Ltd.,539660,B
Best Eastern Hotels Ltd.,508664,X
Betala Global Securities Ltd.,531530,XT
Betex India Ltd.,512477,XT
BF Investment Ltd.,533303,B
BF Utilities Ltd.,532430,Z
BFL Asset Finvest Ltd.,539662,X
BGIL Films & Technologies Ltd.,511664,XT
BGR Energy Systems Ltd.,532930,B
Bhagawati Oxygen Ltd.,509449,XT
Bhageria Industries Ltd.,530803,T
Bhagiradha Chemicals & Industries Ltd.,531719,B
Bhagwati Autocast Ltd.,504646,X
Bhagyanagar India Ltd.,512296,B
Bhagyanagar Properties Ltd.,540621,B
Bhagyashree Leasing & Finance Ltd.,511698,XT
Bhakti Gems and Jewellery Ltd. 540545 BCompany,Code,Group
Bhandari Hosiery Exports Ltd.,512608,B
Bhanderi Infracon Ltd.,538576,MT
Bhansali Engineering Polymers Ltd.,500052,B
Bharat Agri Fert & Realty Ltd.,531862,X
Bharat Bhushan Finance & Commodity Brokers Ltd.,511501,X
Bharat Bijlee Ltd.,503960,B
Bharat Dynamics Ltd.,541143,A
Bharat Electronics Ltd.,500049,A
Bharat Forge Ltd.,500493,A
Bharat Gears Ltd.,505688,B
Bharat Global Developers Ltd.,521238,XT
Bharat Heavy Electricals Ltd.,500103,A
Bharat Immunological & Biologicals Corporation Ltd.,524663,B
Bharat Petroleum Corporation Ltd.,500547,A
Bharat Rasayan Ltd.,590021,B
Bharat Road Network Ltd.,540700,B
Bharat Seats Ltd.,523229,X
Bharat Textiles & Proofing Industries Ltd.,531029,P
Bharat Wire Ropes Ltd.,539799,B
Bharati Defence and Infrastructure Ltd.,532609,Z
Bharatiya Global Infomedia Ltd.,533499,Z
Bharti Airtel Ltd.,532454,A
Bharti Hexacom Ltd.,544162,B
Bhartiya International Ltd.,526666,T
Bhaskar Agrochemicals Ltd.,524534,X
Bhatia Colour Chem Ltd.,543497,MT
Bhatia Communications & Retail (India) Ltd.,540956,T
Bheema Cements Ltd.,518017,Z
Bhilwara Spinners Ltd.,514272,X
Bhilwara Technical Textiles Ltd.,533108,X
Bhoruka Aluminium Ltd.,506027,XT
Bhudevi Infra Projects Ltd.,526488,XT
